Municipality,2012,2011,2010,2009,2008
Barrie,143000.000,141000.000,141000.000,140000.000,
Brant,,,,,31449.000
Calgary,1120225.000,1090936.000,1071515.000,1065455.000,1042892.000
Durham,644910.000,636915.000,621420.000,616780.000,611900.000
Halton,505678.000,493045.000,492100.000,480000.000,467200.000
Hamilton,535234.000,531057.000,528502.000,525697.000,519109.000
London,369940.000,366150.000,365200.000,362235.000,358838.000
Muskoka,59771.000,59220.000,58687.000,62109.000,61191.000
Niagara,446676.000,445363.000,443866.000,442908.000,442121.000
Ottawa,935073.000,927118.000,917570.000,908390.000,898150.000
Peel,,,,1303984.000,1263000.000
Sudbury (Greater),161900.000,160300.000,158900.000,160700.000,160700.000
Thunder Bay,108359.000,108359.000,109140.000,109140.000,109140.000
Toronto,2791140.000,2790200.000,2773000.000,2755800.000,2738600.000
Waterloo,559000.000,553000.000,543700.000,534900.000,533700.000
Windsor,210891.000,210891.000,216473.000,216473.000,216473.000
Winnipeg,704800.000,691800.000,684100.000,,
York,1108570.000,1085588.000,1061983.000,1032600.000,1011360.000
